variable name,long name,CF convention,dimensions,output frequency
HDOI,HD16O isotope mmr for ICE,mass_fraction_of_cloud_ice_in_air,"[lat, lon, lev]",[month]
HDOL,HD16O isotope mmr for LIQUID,mass_fraction_of_cloud_liquid_water_in_air,"[lat, lon, lev]",[month]
HDOR,HD16O isotope mmr for RAINS,precipitation_flux,"[lat, lon, lev]",[month]
HDOS,HD16O isotope mmr for SNOWS,snowfall_flux,"[lat, lon, lev]",[month]
HDOV,HD16O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
HDOr,HD16O isotope mmr for RAINC,precipitation_flux,"[lat, lon, lev]",[month]
HDOs,HD16O isotope mmr for SNOWC,snowfall_flux,"[lat, lon, lev]",[month]
ICEFRAC,Fraction of sfc area covered by sea-ice,sea_ice_area_fraction,"[lat, lon]",[month]
LANDFRAC,Fraction of sfc area covered by land,land_area_fraction,"[lat, lon]",[month]
LAT05NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT05SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT15NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT15SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT25NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT25SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT35NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT35SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT45NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT45SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT55NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT55SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT65NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT65SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT75NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT75SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT85NV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LAT85SV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LHFLX,Surface latent heat flux,surface_upward_latent_heat_flux,"[lat, lon]",[month]
LON05EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON105EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON115EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON125EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON135EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON145EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON155EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON15EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON165EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON175EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON185EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON195EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON205EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON215EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON225EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON235EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON245EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON255EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON25EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON265EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON275EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON285EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON295EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON305EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON315EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON325EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON335EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON345EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON355EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON35EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON45EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON55EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON65EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON75EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON85EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LON95EV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
LWCF,Longwave cloud forcing,toa_longwave_cloud_forcing,"[lat, lon]",[month]
OMEGA,Vertical velocity (pressure),lagrangian_tendency_of_air_pressure,"[lat, lon, lev]","[month, day]"
PBLH,PBL height,atmosphere_boundary_layer_thickness,"[lat, lon]",[month]
PRECC,Convective precipitation rate (liq + ice),convective_precipitation_flux,"[lat, lon]",[month]
PRECL,Large-scale (stable) precipitation rate (liq + ice),large_scale_precipitation_flux,"[lat, lon]",[month]
PRECRC_H216Or,Convective rain rate for H216Or,precipitation_flux,"[lat, lon]",[month]
PRECRC_H218Or,Convective rain rate for H218Or,precipitation_flux,"[lat, lon]",[month]
PRECRC_H2Or,Convective rain rate for H2Or,precipitation_flux,"[lat, lon]",[month]
PRECRC_HDOr,Convective rain rate for HDOr,precipitation_flux,"[lat, lon]",[month]
PRECRC_LAT05Nr,Convective rain rate for LAT05Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT05Sr,Convective rain rate for LAT05Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT15Nr,Convective rain rate for LAT15Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT15Sr,Convective rain rate for LAT15Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT25Nr,Convective rain rate for LAT25Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT25Sr,Convective rain rate for LAT25Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT35Nr,Convective rain rate for LAT35Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT35Sr,Convective rain rate for LAT35Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT45Nr,Convective rain rate for LAT45Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT45Sr,Convective rain rate for LAT45Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT55Nr,Convective rain rate for LAT55Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT55Sr,Convective rain rate for LAT55Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT65Nr,Convective rain rate for LAT65Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT65Sr,Convective rain rate for LAT65Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT75Nr,Convective rain rate for LAT75Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT75Sr,Convective rain rate for LAT75Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT85Nr,Convective rain rate for LAT85Nr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LAT85Sr,Convective rain rate for LAT85Sr,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON05Er,Convective rain rate for LON05Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON105Er,Convective rain rate for LON105Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON115Er,Convective rain rate for LON115Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON125Er,Convective rain rate for LON125Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON135Er,Convective rain rate for LON135Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON145Er,Convective rain rate for LON145Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON155Er,Convective rain rate for LON155Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON15Er,Convective rain rate for LON15Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON165Er,Convective rain rate for LON165Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON175Er,Convective rain rate for LON175Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON185Er,Convective rain rate for LON185Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON195Er,Convective rain rate for LON195Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON205Er,Convective rain rate for LON205Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON215Er,Convective rain rate for LON215Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON225Er,Convective rain rate for LON225Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON235Er,Convective rain rate for LON235Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON245Er,Convective rain rate for LON245Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON255Er,Convective rain rate for LON255Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON25Er,Convective rain rate for LON25Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON265Er,Convective rain rate for LON265Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON275Er,Convective rain rate for LON275Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON285Er,Convective rain rate for LON285Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON295Er,Convective rain rate for LON295Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON305Er,Convective rain rate for LON305Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON315Er,Convective rain rate for LON315Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON325Er,Convective rain rate for LON325Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON335Er,Convective rain rate for LON335Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON345Er,Convective rain rate for LON345Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON355Er,Convective rain rate for LON355Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON35Er,Convective rain rate for LON35Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON45Er,Convective rain rate for LON45Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON55Er,Convective rain rate for LON55Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON65Er,Convective rain rate for LON65Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON75Er,Convective rain rate for LON75Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON85Er,Convective rain rate for LON85Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRC_LON95Er,Convective rain rate for LON95Er,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_H216OR,Large-scale (stable) rain rate for H216OR,precipitation_flux,"[lat, lon]",[month]
PRECRL_H218OR,Large-scale (stable) rain rate for H218OR,precipitation_flux,"[lat, lon]",[month]
PRECRL_H2OR,Large-scale (stable) rain rate for H2OR,precipitation_flux,"[lat, lon]",[month]
PRECRL_HDOR,Large-scale (stable) rain rate for HDOR,precipitation_flux,"[lat, lon]",[month]
PRECRL_LAT05NR,Large-scale (stable) rain rate for LAT05NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT05SR,Large-scale (stable) rain rate for LAT05SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT15NR,Large-scale (stable) rain rate for LAT15NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT15SR,Large-scale (stable) rain rate for LAT15SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT25NR,Large-scale (stable) rain rate for LAT25NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT25SR,Large-scale (stable) rain rate for LAT25SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT35NR,Large-scale (stable) rain rate for LAT35NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT35SR,Large-scale (stable) rain rate for LAT35SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT45NR,Large-scale (stable) rain rate for LAT45NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT45SR,Large-scale (stable) rain rate for LAT45SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT55NR,Large-scale (stable) rain rate for LAT55NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT55SR,Large-scale (stable) rain rate for LAT55SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT65NR,Large-scale (stable) rain rate for LAT65NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT65SR,Large-scale (stable) rain rate for LAT65SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT75NR,Large-scale (stable) rain rate for LAT75NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT75SR,Large-scale (stable) rain rate for LAT75SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT85NR,Large-scale (stable) rain rate for LAT85NR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LAT85SR,Large-scale (stable) rain rate for LAT85SR,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON05ER,Large-scale (stable) rain rate for LON05ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON105ER,Large-scale (stable) rain rate for LON105ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON115ER,Large-scale (stable) rain rate for LON115ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON125ER,Large-scale (stable) rain rate for LON125ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON135ER,Large-scale (stable) rain rate for LON135ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON145ER,Large-scale (stable) rain rate for LON145ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON155ER,Large-scale (stable) rain rate for LON155ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON15ER,Large-scale (stable) rain rate for LON15ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON165ER,Large-scale (stable) rain rate for LON165ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON175ER,Large-scale (stable) rain rate for LON175ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON185ER,Large-scale (stable) rain rate for LON185ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON195ER,Large-scale (stable) rain rate for LON195ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON205ER,Large-scale (stable) rain rate for LON205ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON215ER,Large-scale (stable) rain rate for LON215ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON225ER,Large-scale (stable) rain rate for LON225ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON235ER,Large-scale (stable) rain rate for LON235ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON245ER,Large-scale (stable) rain rate for LON245ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON255ER,Large-scale (stable) rain rate for LON255ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON25ER,Large-scale (stable) rain rate for LON25ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON265ER,Large-scale (stable) rain rate for LON265ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON275ER,Large-scale (stable) rain rate for LON275ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON285ER,Large-scale (stable) rain rate for LON285ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON295ER,Large-scale (stable) rain rate for LON295ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON305ER,Large-scale (stable) rain rate for LON305ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON315ER,Large-scale (stable) rain rate for LON315ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON325ER,Large-scale (stable) rain rate for LON325ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON335ER,Large-scale (stable) rain rate for LON335ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON345ER,Large-scale (stable) rain rate for LON345ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON355ER,Large-scale (stable) rain rate for LON355ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON35ER,Large-scale (stable) rain rate for LON35ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON45ER,Large-scale (stable) rain rate for LON45ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON55ER,Large-scale (stable) rain rate for LON55ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON65ER,Large-scale (stable) rain rate for LON65ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON75ER,Large-scale (stable) rain rate for LON75ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON85ER,Large-scale (stable) rain rate for LON85ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECRL_LON95ER,Large-scale (stable) rain rate for LON95ER,precipitation_flux,"[lat, lon]","[month, day]"
PRECSC,Convective snow rate (water equivalent),convective_snowfall_flux,"[lat, lon]",[month]
PRECSC_H216Os,Convective snow rate (water equivalent) for H216Os,snowfall_flux,"[lat, lon]",[month]
PRECSC_H218Os,Convective snow rate (water equivalent) for H218Os,snowfall_flux,"[lat, lon]",[month]
PRECSC_H2Os,Convective snow rate (water equivalent) for H2Os,snowfall_flux,"[lat, lon]",[month]
PRECSC_HDOs,Convective snow rate (water equivalent) for HDOs,snowfall_flux,"[lat, lon]",[month]
PRECSC_LAT05Ns,Convective snow rate (water equivalent) for LAT05Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT05Ss,Convective snow rate (water equivalent) for LAT05Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT15Ns,Convective snow rate (water equivalent) for LAT15Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT15Ss,Convective snow rate (water equivalent) for LAT15Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT25Ns,Convective snow rate (water equivalent) for LAT25Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT25Ss,Convective snow rate (water equivalent) for LAT25Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT35Ns,Convective snow rate (water equivalent) for LAT35Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT35Ss,Convective snow rate (water equivalent) for LAT35Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT45Ns,Convective snow rate (water equivalent) for LAT45Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT45Ss,Convective snow rate (water equivalent) for LAT45Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT55Ns,Convective snow rate (water equivalent) for LAT55Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT55Ss,Convective snow rate (water equivalent) for LAT55Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT65Ns,Convective snow rate (water equivalent) for LAT65Ns,snowfall_flux,"[lat, lon]","[month, day]"
